"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2019","2.40","2.31","2.48","2.25","38.02M","-1.64%"
"Dec 02, 2019","2.44","2.35","2.44","2.30","33.15M","7.49%"
"Nov 29, 2019","2.27","2.36","2.36","2.20","32.64M","-7.72%"
"Nov 27, 2019","2.46","2.32","2.50","2.28","77.49M","7.89%"
"Nov 26, 2019","2.28","2.12","2.29","2.12","55.68M","11.22%"
"Nov 25, 2019","2.05","1.99","2.12","1.96","36.94M","5.67%"
"Nov 22, 2019","1.94","2.04","2.05","1.88","25.21M","-2.02%"
"Nov 21, 2019","1.98","1.87","2.04","1.82","41.55M","7.61%"
"Nov 20, 2019","1.84","1.85","1.87","1.77","20.77M","0.55%"
"Nov 19, 2019","1.83","1.78","1.89","1.78","26.83M","1.67%"
"Nov 18, 2019","1.80","1.88","1.90","1.73","26.55M","0.00%"
"Nov 15, 2019","1.80","1.75","1.84","1.66","32.27M","2.86%"
"Nov 14, 2019","1.75","1.86","1.89","1.66","46.81M","-7.89%"
"Nov 13, 2019","1.90","1.90","1.99","1.85","25.13M","-2.06%"
"Nov 12, 2019","1.94","1.90","2.05","1.83","27.82M","4.30%"
"Nov 11, 2019","1.86","1.90","1.96","1.78","34.37M","-6.06%"
"Nov 08, 2019","1.98","2.13","2.13","1.94","38.42M","-4.35%"
"Nov 07, 2019","2.07","2.11","2.20","2.05","39.59M","1.97%"
"Nov 06, 2019","2.03","2.46","2.46","1.96","114.18M","-13.25%"
"Nov 05, 2019","2.34","1.88","2.38","1.80","184.64M","36.84%"
"Nov 04, 2019","1.71","1.65","1.90","1.58","61.27M","12.50%"
"Nov 01, 2019","1.52","1.49","1.55","1.49","18.04M","4.83%"
"Oct 31, 2019","1.45","1.47","1.54","1.44","22.42M","1.40%"
"Oct 30, 2019","1.43","1.42","1.45","1.36","20.88M","2.88%"
"Oct 29, 2019","1.39","1.45","1.45","1.39","22.39M","-6.08%"
"Oct 28, 2019","1.48","1.43","1.50","1.38","32.76M","-1.99%"
"Oct 25, 2019","1.51","1.54","1.55","1.50","20.58M","-1.95%"
"Oct 24, 2019","1.54","1.57","1.60","1.53","21.62M","0.65%"
"Oct 23, 2019","1.53","1.58","1.59","1.52","12.85M","-3.16%"
"Oct 22, 2019","1.58","1.70","1.77","1.52","39.05M","-6.51%"
"Oct 21, 2019","1.69","1.52","1.77","1.49","40.27M","11.18%"
"Oct 18, 2019","1.52","1.45","1.55","1.44","21.50M","4.11%"
"Oct 17, 2019","1.46","1.46","1.50","1.42","18.39M","0.00%"
"Oct 16, 2019","1.46","1.46","1.52","1.40","40.84M","-5.81%"
"Oct 15, 2019","1.55","1.63","1.64","1.54","27.71M","1.31%"
"Oct 14, 2019","1.53","1.56","1.57","1.52","12.60M","-1.92%"
"Oct 11, 2019","1.56","1.55","1.59","1.50","25.71M","1.96%"
"Oct 10, 2019","1.53","1.64","1.64","1.50","34.07M","-6.71%"
"Oct 09, 2019","1.64","1.75","1.76","1.57","35.98M","-3.53%"
"Oct 08, 2019","1.70","1.73","1.80","1.66","47.25M","9.68%"
"Oct 07, 2019","1.55","1.58","1.59","1.45","26.93M","-4.32%"
"Oct 04, 2019","1.62","1.60","1.69","1.56","25.31M","-1.22%"
"Oct 03, 2019","1.64","1.59","1.70","1.43","58.72M","3.14%"
"Oct 02, 2019","1.59","1.19","1.65","1.19","99.49M","20.45%"
"Oct 01, 2019","1.32","1.51","1.51","1.22","88.30M","-15.38%"
"Sep 30, 2019","1.56","1.72","1.73","1.53","58.97M","-10.86%"
"Sep 27, 2019","1.75","1.94","2.00","1.71","59.98M","-10.71%"
"Sep 26, 2019","1.96","2.05","2.06","1.90","52.90M","-4.39%"
"Sep 25, 2019","2.05","2.15","2.15","2.02","39.27M","-5.53%"
"Sep 24, 2019","2.17","2.22","2.24","1.97","122.30M","-20.22%"
"Sep 23, 2019","2.72","2.98","2.98","2.71","40.59M","-10.53%"
"Sep 20, 2019","3.04","3.14","3.16","3.02","12.05M","-1.94%"
"Sep 19, 2019","3.10","3.12","3.16","3.08","8.84M","0.65%"
"Sep 18, 2019","3.08","3.21","3.21","3.03","12.58M","-3.14%"
"Sep 17, 2019","3.18","3.11","3.18","3.00","13.01M","1.92%"
"Sep 16, 2019","3.12","3.15","3.21","3.09","12.37M","-2.80%"
"Sep 13, 2019","3.21","3.22","3.27","3.15","8.37M","0.63%"
"Sep 12, 2019","3.19","3.24","3.27","3.10","10.96M","-2.45%"
"Sep 11, 2019","3.27","3.28","3.33","3.16","13.62M","-1.51%"
"Sep 10, 2019","3.32","3.13","3.33","3.07","20.85M","5.73%"
"Sep 09, 2019","3.14","3.00","3.14","2.93","17.39M","5.37%"
"Sep 06, 2019","2.98","2.99","3.00","2.87","14.51M","1.02%"
"Sep 05, 2019","2.95","2.81","3.00","2.80","23.27M","7.27%"
"Sep 04, 2019","2.75","2.70","2.75","2.64","15.21M","5.77%"
"Sep 03, 2019","2.60","2.82","2.83","2.58","26.90M","-9.09%"
"Aug 30, 2019","2.86","2.90","2.91","2.84","8.16M","0.35%"
"Aug 29, 2019","2.85","2.91","2.93","2.85","12.38M","0.35%"
"Aug 28, 2019","2.84","2.90","2.92","2.83","10.49M","-2.41%"
"Aug 27, 2019","2.91","2.92","3.00","2.83","20.42M","0.34%"
"Aug 26, 2019","2.90","2.95","2.95","2.83","14.14M","-0.68%"
"Aug 23, 2019","2.92","2.97","3.04","2.88","13.65M","-3.31%"
"Aug 22, 2019","3.02","3.06","3.09","3.01","12.43M","-0.98%"
"Aug 21, 2019","3.05","3.23","3.27","3.02","21.52M","-3.48%"
"Aug 20, 2019","3.16","3.06","3.21","3.00","16.70M","5.33%"
"Aug 19, 2019","3.00","3.00","3.10","3.00","13.66M","1.69%"
"Aug 16, 2019","2.95","2.89","3.01","2.86","15.88M","4.61%"
"Aug 15, 2019","2.82","2.99","2.99","2.77","15.74M","-2.76%"
